START_TOKEN,1
A_SUBMITTED-COMPLETE,2
A_PARTLYSUBMITTED-COMPLETE,3
A_PREACCEPTED-COMPLETE,4
W_Completeren aanvraag-SCHEDULE,5
W_Completeren aanvraag-START,6
A_ACCEPTED-COMPLETE,7
O_SELECTED-COMPLETE,8
A_FINALIZED-COMPLETE,9
O_CREATED-COMPLETE,10
O_SENT-COMPLETE,11
W_Nabellen offertes-SCHEDULE,12
W_Completeren aanvraag-COMPLETE,13
W_Nabellen offertes-START,14
W_Nabellen offertes-COMPLETE,15
O_SENT_BACK-COMPLETE,16
W_Valideren aanvraag-SCHEDULE,17
W_Valideren aanvraag-START,18
A_REGISTERED-COMPLETE,19
A_APPROVED-COMPLETE,20
O_ACCEPTED-COMPLETE,21
A_ACTIVATED-COMPLETE,22
W_Valideren aanvraag-COMPLETE,23
O_CANCELLED-COMPLETE,24
A_DECLINED-COMPLETE,25
A_CANCELLED-COMPLETE,26
W_Afhandelen leads-SCHEDULE,27
W_Afhandelen leads-START,28
W_Afhandelen leads-COMPLETE,29
O_DECLINED-COMPLETE,30
W_Nabellen incomplete dossiers-SCHEDULE,31
W_Nabellen incomplete dossiers-START,32
W_Nabellen incomplete dossiers-COMPLETE,33
W_Beoordelen fraude-SCHEDULE,34
W_Beoordelen fraude-START,35
W_Beoordelen fraude-COMPLETE,36
W_Wijzigen contractgegevens-SCHEDULE,37
